股票代號,股票名稱,2021上市上櫃
5521,工信,1
5522,遠雄,1
5523,豐謙,2
5525,順天,1
5529,鉅陞,2
5530,龍巖,2
5531,鄉林,1
5533,皇鼎,1
5534,長虹,1
5536,聖暉,2
5538,東明-KY,1
5543,桓鼎-KY,2
5546,永固-KY,1
5601,台聯櫃,2
5603,陸海,2
5604,中連貨,2
5607,遠雄港,1
5608,四維航,1
5609,中菲行,2
5701,劍湖山,2
5703,亞都,2
5704,老爺知,2
5706,鳳凰,1
5820,日盛金,2
5864,致和證,2
5871,中租-KY,1
5876,上海商銀,1
5878,台名,2
5880,合庫金,1
5902,德記,2
5903,全家,2
5904,寶雅,2
5905,南仁湖,2
5906,台南-KY,1
5907,大洋-KY,1
6005,群益證,1
6015,宏遠證,2
6016,康和證,2
6020,大展證,2
6021,大慶證,2
6023,元大期,2
6024,群益期,1
6026,福邦證,2
6101,寬魚國際,2
6103,合邦,2
6104,創惟,2
6108,競國,1
6109,亞元,2
6111,大宇資,2
6112,聚碩,1
6113,亞矽,2
6114,久威,2
6115,鎰勝,1
6116,彩晶,1
6117,迎廣,1
6118,建達,2
6120,達運,1
6121,新普,2
6122,擎邦,2
6123,上奇,2
6124,業強,2
6125,廣運,2
6126,信音,2
6127,九豪,2
6128,上福,1
6129,普誠,2
6130,星寶國際,2
6133,金橋,1
6134,萬旭,2
6136,富爾特,1
6138,茂達,2
6139,亞翔,1
6140,訊達,2
6141,柏承,1
6142,友勁,1
6143,振曜,2
6144,得利影,2
6146,耕興,2
6147,頎邦,2
6148,驊宏資,2
6150,撼訊,2
6151,晉倫,2
6152,百一,1
6153,嘉聯益,1
6154,順發,2
6155,鈞寶,1
6156,松上,2
6158,禾昌,2
6160,欣技,2
6161,捷波,2
6163,華電網,2
6164,華興,1
6165,浪凡,1
6166,凌華,1
6167,久正,2
6168,宏齊,1
6169,昱泉,2
6170,統振,2
6171,大城地產,2
6172,互億,1
6173,信昌電,2
6174,安碁,2
6175,立敦,2
6176,瑞儀,1
6177,達麗,1
6179,亞通,2
6180,橘子,2
6182,合晶,2
6183,關貿,1
6184,大豐電,1
6185,幃翔,2
6186,新潤,2
6187,萬潤,2
6188,廣明,2
6189,豐藝,1
6190,萬泰科,2
6191,精成科,1
6192,巨路,1
6194,育富,2
6195,詩肯,2
6196,帆宣,1
6197,佳必琪,1
6198,凌泰,2
6199,天品,2
6201,亞弘電,1
6202,盛群,1
6203,海韻電,2
6204,艾華,2
6205,詮欣,1
6206,飛捷,1
6207,雷科,2
6208,日揚,2
6209,今國光,1
6210,慶生,2
6212,理銘,2
6213,聯茂,1
6214,精誠,1
6215,和椿,1
6216,居易,1
6217,中探針,2
6218,豪勉,2
6219,富旺,2
6220,岳豐,2
6221,晉泰,2
6222,上揚,2
6223,旺矽,2
6224,聚鼎,1
6225,天瀚,1
6226,光鼎,1
6227,茂綸,2
6228,全譜,2
6229,研通,2
6230,尼得科超眾,1
6231,系微,2
6233,旺玖,2
6234,高僑,2
6235,華孚,1
6236,康呈,2
6237,驊訊,2
6239,力成,1
6240,松崗,2
6241,易通展,2
6242,立康,2
6243,迅杰,1
6244,茂迪,2
6245,立端,2
6246,臺龍,2
6247,淇譽電,2
6248,沛波,2
6251,定穎,1
6257,矽格,1
6259,百徽,2
6261,久元,2
6263,普萊德,2
6264,富裔,2
6265,方土昶,2
6266,泰詠,2
6269,台郡,1
6270,倍微,2
6271,同欣電,1
6274,台燿,2
6275,元山,2
6276,安鈦克,2
6277,宏正,1
6278,台表科,1
6279,胡連,2
6281,全國電,1
6282,康舒,1
6283,淳安,1
6284,佳邦,2
6285,啟碁,1
6287,元隆,2
6288,聯嘉,1
6289,華上,1
6290,良維,2
6291,沛亨,2
6292,迅德,2
6294,智基,2
6404,通訊-KY,2
6405,悅城,1
6409,旭隼,1
6411,晶焱,2
6412,群電,1
6414,樺漢,1
6415,矽力-KY,1
6416,瑞祺電通,1
6417,韋僑,2
6418,詠昇,2
6419,京晨科,2
6425,易發,2
6426,統新,1
6431,光麗-KY,1
6432,今展科,2
6435,大中,2
6438,迅得,1
6441,廣錠,2
6442,光聖,1
6443,元晶,1
6446,藥華藥,2
6449,鈺邦,1
6451,訊芯-KY,1
6456,GIS-KY,1
6457,紘康,2
6461,益得,2
6462,神盾,2
6464,台數科,1
6465,威潤,2
6469,大樹,2
6470,宇智,2
6472,保瑞,2
6477,安集,1
6482,弘煜科,2
6485,點序,2
6486,互動,2
6488,環球晶,2
6491,晶碩,1
6492,生華科,2
6494,九齊,2
6496,科懋,2
6499,益安,2
6504,南六,1
6505,台塑化,1
6506,雙邦,2
6508,惠光,2
6509,聚和,2
6510,精測,2
6512,啟發電,2
6514,芮特-KY,2
6515,穎崴,1
6516,勤崴國際,2
6523,達爾膚,2
6525,捷敏-KY,1
6527,明達醫,2
6530,創威,2
6531,愛普*,1
6532,瑞耘,2
6533,晶心科,1
6535,順藥,2
6538,倉和,2
6541,泰福-KY,1
6542,隆中,2
6547,高端疫苗,2
6548,長科*,2
6552,易華電,1
6556,勝品,2
6558,興能高,1
6560,欣普羅,2
